total_formants,max_formant,mdist,residual_energy,sos_geom_mean,validity,mdist_ratio,sos_geom_mean_ratio,r2_f1,r2_f2,r2_f3,r2_f4,r2_f5,energy_ratio,validity_ratio
4,5500,4.401306055005007,4.028751041033702e-07,533550110.1094042,1,1.890763078066959,2.920757351152518,-88.74367542050835,-753.0591859029519,-224.78344933491664,0,0,1,1
4.5,5500,2.632200129637792,1.0580485217965767e-06,407530138.670868,1,1.130770447908908,2.230899452152813,-105.79245123120967,-1487.4524984834018,-2576.763323716395,0,0,2.6262444887264644,1
5,5500,2.7704684649816578,9.749840804315674e-07,376216213.66488034,0.6,1.1901693308919876,2.059480920094178,-122.03461794283211,-2090.0907738736455,-1863.5688908334655,0,0,2.4200653515224526,1.6666666666666667
5.5,5500,2.3390329837294717,1.4471500079400318e-06,377969389.07418805,1,1.0048283733841472,2.0690781441741155,-395.3911915595172,-4775.994534221161,-3153.439549444894,0,0,3.592056181184927,1
6,5500,2.5507843321046746,2.7194705745444242e-06,356446395.5665791,0.03333333333333333,1.0957949242749765,1.95125708048196,-505.0011686513503,-6387.967991767535,-93.79071082937384,0,0,6.7501579195289745,30
6.5,5500,2.38640556985412,4.625548292928112e-06,351160789.8700576,0.8666666666666667,1.025179227343775,1.922322644145243,-769.4016756268484,-3609.0751883794715,-728.9358704407484,0,0,11.481345572898153,1.1538461538461537
7,5500,2.3277935274178967,7.4072543020699165e-06,293296919.45906085,0.3333333333333333,1,1.6055645333945945,-749.2909931688336,-2589.8099310181324,-90.9347817302974,0,0,18.385981726409568,3
7.5,5500,5.765763964883954,2.0783387479999466e-05,273541048.4223606,0.8666666666666667,2.4769224147124524,1.4974170427174178,-814.668658892104,-439.3179950302463,-188.44767130031653,0,0,51.587668903628355,1.1538461538461537
8,5500,6.772178397868981,0.0003061590706848574,182675260.5446213,0.8666666666666667,2.9092693652177197,1,-112.18141957078043,-5.2334795065768445,-1621.0193145461915,0,0,759.9354429364361,1.1538461538461537
8.5,5500,8.559222037356948,0.0002589065269450307,191261621.06529513,0.8,3.6769678824785026,1.0470034119293155,-97.02456247854828,-4.235339756260325,-1301.9906403121875,0,0,642.6471239051796,1.25
