type,phone,F1_50,F2_50,F3_50,B1_50,B2_50,B3_50
means,a,890.578454332553,1739.18969555035,2826.3606557377,180.908665105386,376.873536299766,722.093676814988
means,ə,650.565217391304,1724.21118012422,2909.75776397516,154.018633540373,242.173913043478,452.27950310559
means,ɤ,514.699658703072,1768.64163822526,2896.71672354949,89.7542662116041,279.344709897611,266.443686006826
means,i,318.973451327434,2780.23008849558,3371.9203539823,64.1946902654867,171.256637168142,523.504424778761
means,ɪ,410.958333333333,2744.75462962963,3334.49074074074,103.675925925926,255.287037037037,525.851851851852
means,ɨ,409.632653061225,1996.69387755102,2954.9387755102,85.5204081632653,238.744897959184,288.020408163265
means,o,550.963855421687,1069.5140562249,3119.40963855422,177.66265060241,109.807228915663,402.971887550201
means,u,348.134259259259,1008.25462962963,3015.22222222222,96.162037037037,150.078703703704,238.365740740741
matrix,a,3445.12704643159,-575.13580939187,1123.4763334103,682.440281030445,-1245.29991423954,-117.237413552352
matrix,a,-575.13580939187,30295.5531330057,9887.53001616255,-1648.48263350595,6433.59446845004,4597.70519290607
matrix,a,1123.4763334103,9887.53001616255,40223.3907488648,3789.42503655815,1531.24994227661,-2697.12306626645
matrix,a,682.440281030445,-1648.48263350595,3789.42503655815,3289.31323459885,1686.81706083496,2020.64472628118
matrix,a,-1245.29991423954,6433.59446845004,1531.24994227661,1686.81706083496,24906.9886642258,2936.46727358688
matrix,a,-117.237413552352,4597.70519290607,-2697.12306626645,2020.64472628118,2936.46727358688,124483.446603116
matrix,ə,8499.7472826087,-4100.84510869565,-1208.59972826087,965.689402173913,1699.52608695652,4032.1410326087
matrix,ə,-4100.84510869565,57767.5426242236,-1908.34852484472,-4299.11020962733,572.344293478261,-7219.67189440994
matrix,ə,-1208.59972826087,-1908.34852484472,22604.5847049689,985.248291925466,-3086.98885869565,5365.38687888199
matrix,ə,965.689402173913,-4299.11020962733,985.248291925466,2459.24340062112,711.346739130435,-126.24274068323
matrix,ə,1699.52608695652,572.344293478261,-3086.98885869565,711.346739130435,11145.5195652174,3569.30108695652
matrix,ə,4032.1410326087,-7219.67189440994,5365.38687888199,-126.24274068323,3569.30108695652,65937.9151397516
matrix,ɤ,8935.14236289682,-1110.36827341157,-3403.81824769741,-176.330906073215,1253.94292627051,1816.8734396185
matrix,ɤ,-1110.36827341157,40819.4636027865,616.456356070878,-516.97192482117,6401.83628266866,3248.47461311889
matrix,ɤ,-3403.81824769741,616.456356070878,5522.38865772126,921.854808546449,-1575.54927766609,-1806.1410070597
matrix,ɤ,-176.330906073215,-516.97192482117,921.854808546449,1604.02159988779,-462.747194819767,-147.126899340783
matrix,ɤ,1253.94292627051,6401.83628266866,-1575.54927766609,-462.747194819767,13370.1513160971,3884.49721819627
matrix,ɤ,1816.8734396185,3248.47461311889,-1806.1410070597,-147.126899340783,3884.49721819627,9112.42575622984
matrix,i,1140.02607458913,265.416877370417,-1114.86820480405,-296.83407079646,-443.109197218711,728.897439949431
matrix,i,265.416877370417,3758.69658659924,1573.54527496839,221.401232616941,-539.38100505689,3975.39182996207
matrix,i,-1114.86820480405,1573.54527496839,17280.0739570164,623.99778761062,-670.568663084703,2432.00481984829
matrix,i,-296.83407079646,221.401232616941,623.99778761062,420.408185840708,34.4942319848293,-310.840154867257
matrix,i,-443.109197218711,-539.38100505689,-670.568663084703,34.4942319848293,2150.53176359039,1137.91403286979
matrix,i,728.897439949431,3975.39182996207,2432.00481984829,-310.840154867257,1137.91403286979,44333.5379266751
matrix,ɪ,1457.52848837209,-1995.76841085271,-2549.30968992248,716.572480620155,1010.93294573643,594.942635658915
matrix,ɪ,-1995.76841085271,10871.218583118,9610.54888027562,-698.358957795004,-1964.50133505599,1876.6285960379
matrix,ɪ,-2549.30968992248,9610.54888027562,27537.7487510767,640.987683031869,-6571.09035314384,-7781.99672695952
matrix,ɪ,716.572480620155,-698.358957795004,640.987683031869,2975.53169681309,135.032988802756,-401.811024978467
matrix,ɪ,1010.93294573643,-1964.50133505599,-6571.09035314384,135.032988802756,9378.97769164513,8871.70783807063
matrix,ɪ,594.942635658915,1876.6285960379,-7781.99672695952,-401.811024978467,8871.70783807063,60370.6756244617
matrix,ɨ,1417.88428361035,-2686.64969492952,274.997896065643,323.440563854408,25.9981064590785,-108.157374289922
matrix,ɨ,-2686.64969492952,55717.2455291395,10929.929518199,-1250.28234799074,1994.48811277088,4.61455922575216
matrix,ɨ,274.997896065643,10929.929518199,13014.3261098254,-461.802861350726,422.860509152114,-1597.16368609299
matrix,ɨ,323.440563854408,-1250.28234799074,-461.802861350726,1448.21091941931,493.484641279192,-512.443719755944
matrix,ɨ,25.9981064590785,1994.48811277088,422.860509152114,493.484641279192,5086.3156953503,210.056806227646
matrix,ɨ,-108.157374289922,4.61455922575216,-1597.16368609299,-512.443719755944,210.056806227646,23097.4222596255
matrix,o,4672.97046249514,2940.89365526623,1858.93825301205,972.608725223474,314.065584920326,3385.88204430626
matrix,o,2940.89365526623,12762.6862935613,-7538.99368441508,-2516.32588418189,142.922075398368,-2090.92097421946
matrix,o,1858.93825301205,-7538.99368441508,26335.3234551108,5663.44520015546,788.478478429848,6759.79785270113
matrix,o,972.608725223474,-2516.32588418189,5663.44520015546,6149.32928488146,1861.59599689079,3315.43402642829
matrix,o,314.065584920326,142.922075398368,788.478478429848,1861.59599689079,2389.01107656432,1060.97439759036
matrix,o,3385.88204430626,-2090.92097421946,6759.79785270113,3315.43402642829,1060.97439759036,44407.6161419873
matrix,u,967.688867355728,322.32379414298,1004.13281653747,-369.333484065461,-306.187360034453,421.741365202412
matrix,u,322.32379414298,13925.0930017227,111.352454780362,196.921339362618,1711.95661068045,1772.64132213609
matrix,u,1004.13281653747,111.352454780362,7061.10387596899,6.66149870801034,-937.222222222222,4366.72299741602
matrix,u,-369.333484065461,196.921339362618,6.66149870801034,1907.26199397071,966.084862187769,466.200925925926
matrix,u,-306.187360034453,1711.95661068045,-937.222222222222,966.084862187769,6217.91470714901,-322.703337639966
matrix,u,421.741365202412,1772.64132213609,4366.72299741602,466.200925925926,-322.703337639966,19164.1028208441
